state,Area name,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
AK,Kodiak Island Borough,889,"2,747","2,863","2,285",10.1,31.3,32.6,26
AK,Kusilvak Census Area,880,"2,117",760,190,22.3,53.6,19.3,4.8
AK,Kuskokwim Division,,,,,,,,
AK,Lake and Peninsula Borough,123,356,237,134,14.5,41.9,27.9,15.8
AK,Matanuska-Susitna Borough,"5,068","21,381","25,899","14,073",7.6,32.2,39,21.2
AK,Nome Census Area,872,"2,347","1,457",799,15.9,42.9,26.6,14.6
AK,North Slope Borough,666,"2,797","1,968","1,079",10.2,43,30.2,16.6
AK,Northwest Arctic Borough,759,"1,982",956,489,18.1,47.3,22.8,11.7
AK,Petersburg Census Area,219,680,647,589,10.3,31.9,30.3,27.6
AK,Prince of Wales-Hyder Census Area,440,"1,668","1,577",787,9.8,37.3,35.3,17.6
AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,,
AK,Sitka City and Borough,371,"1,741","2,026","2,004",6,28.3,33,32.6
AK,Skagway Municipality,51,189,296,273,6.3,23.4,36.6,33.7
AK,Skagway-Yakutat-Angoon Census Area,,,,,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,,,,,
AK,Southeast Fairbanks Census Area,436,"1,451","1,717",851,9.8,32.6,38.5,19.1
AK,Upper Yukon Division,,,,,,,,
AK,Valdez-Cordova Census Area,259,"2,111","2,114","1,981",4,32.7,32.7,30.6
AK,Wrangell City and Borough,219,705,563,388,11.7,37.6,30,20.7
AK,Wrangell-Petersburg Census Area,,,,,,,,
AK,Yakutat City and Borough,37,173,151,90,8.2,38.4,33.5,20
AK,Yukon-Koyukuk Census Area,496,"1,394","1,108",463,14.3,40.3,32,13.4
AZ,Apache ,"9,085","14,708","15,444","5,189",20.4,33.1,34.8,11.7
AZ,Cochise ,"11,215","20,560","35,576","20,116",12.8,23.5,40.7,23
AZ,Coconino ,"8,515","17,604","26,746","29,254",10.4,21.4,32.6,35.6
AZ,Gila ,"5,718","11,144","14,867","7,226",14.7,28.6,38.2,18.5
AZ,Graham ,"3,379","7,028","9,526","3,598",14.4,29.9,40.5,15.3
AZ,Greenlee ,658,"2,155","2,433",709,11,36.2,40.9,11.9
AZ,La Paz ,"3,606","5,248","5,084","1,972",22.7,33,32,12.4
AZ,Maricopa ,"354,513","634,810","923,098","899,070",12.6,22.6,32.8,32
AZ,Mohave ,"22,957","54,288","58,539","20,104",14.7,34.8,37.6,12.9
AZ,Navajo ,"11,963","20,957","25,708","11,025",17.2,30.1,36.9,15.8
AZ,Pima ,"79,230","152,408","230,498","216,291",11.7,22.5,34,31.9
AZ,Pinal ,"41,961","85,546","105,949","54,794",14.6,29.7,36.8,19
AZ,Santa Cruz ,"7,127","7,957","8,006","6,138",24.4,27.2,27.4,21
AZ,Yavapai ,"16,623","44,214","67,706","43,270",9.7,25.7,39.4,25.2
AZ,Yuma ,"36,452","33,924","41,128","19,315",27.9,25.9,31.4,14.8
AR,Arkansas ,"2,121","4,774","3,646","1,937",17,38.3,29.2,15.5
AR,Ashley ,"2,465","5,563","4,066","1,838",17.7,39.9,29.2,13.2
AR,Baxter ,"3,747","11,090","11,007","5,802",11.8,35,34.8,18.3
AR,Benton ,"20,120","49,182","44,756","54,780",11.9,29.1,26.5,32.4
AR,Boone ,"3,375","8,779","9,652","4,145",13,33.8,37.2,16
AR,Bradley ,"1,352","3,120","1,880","1,142",18,41.6,25.1,15.2
AR,Calhoun ,649,"1,636","1,013",452,17.3,43.6,27,12.1
AR,Carroll ,"2,788","6,788","6,055","4,015",14.2,34.6,30.8,20.4
AR,Chicot ,"1,451","2,954","2,012","1,110",19.3,39.2,26.7,14.7
AR,Clark ,"1,422","4,021","4,090","3,642",10.8,30.5,31,27.6
AR,Clay ,"2,047","4,363","2,944","1,228",19.3,41.2,27.8,11.6
AR,Cleburne ,"2,865","7,630","5,464","2,796",15.3,40.7,29.1,14.9
AR,Cleveland ,649,"2,689","1,438",920,11.4,47.2,25.2,16.2
AR,Columbia ,"2,210","5,880","3,602","3,028",15,39.9,24.5,20.6
AR,Conway ,"2,059","6,333","3,871","2,329",14.1,43.4,26.5,16
AR,Craighead ,"7,370","23,120","19,413","17,809",10.9,34.1,28.7,26.3
AR,Crawford ,"6,227","15,708","13,588","6,432",14.8,37.4,32.4,15.3
AR,Crittenden ,"5,461","10,890","9,132","5,607",17.6,35,29.4,18
AR,Cross ,"1,974","4,768","2,964","1,771",17.2,41.5,25.8,15.4
AR,Dallas ,862,"2,284","1,401",721,16.4,43.4,26.6,13.7
AR,Desha ,"1,677","3,487","1,772",984,21.2,44,22.4,12.4
AR,Drew ,"1,744","4,150","3,414","2,420",14.9,35.4,29.1,20.6
AR,Faulkner ,"6,483","22,846","22,986","22,472",8.7,30.5,30.7,30
AR,Franklin ,"2,106","4,844","3,701","1,423",17.4,40.1,30.7,11.8
AR,Fulton ,"1,364","3,282","3,140","1,043",15.4,37.2,35.6,11.8
AR,Garland ,"8,243","22,357","26,033","14,335",11.6,31.5,36.7,20.2
AR,Grant ,"1,065","5,517","3,625","2,287",8.5,44.2,29,18.3
AR,Greene ,"3,767","13,130","8,074","4,734",12.7,44.2,27.2,15.9
AR,Hempstead ,"2,734","5,317","4,161","2,178",19,36.9,28.9,15.1
AR,Hot Spring ,"3,495","9,489","7,464","3,526",14.6,39.6,31.1,14.7
AR,Howard ,"1,515","3,312","2,733","1,308",17.1,37.3,30.8,14.7
AR,Independence ,"3,577","9,016","7,804","4,754",14.2,35.8,31,18.9
AR,Izard ,"1,511","3,825","3,393","1,397",14.9,37.8,33.5,13.8
AR,Jackson ,"2,600","5,061","3,408","1,254",21.1,41.1,27.7,10.2
AR,Jefferson ,"6,620","18,270","14,074","8,432",14,38.5,29.7,17.8
AR,Johnson ,"3,565","7,124","3,860","2,735",20.6,41.2,22.3,15.8
AR,Lafayette ,909,"2,055","1,192",821,18.3,41.3,24,16.5
AR,Lawrence ,"1,636","4,551","3,393","1,696",14.5,40.4,30.1,15
AR,Lee ,"1,831","2,770","1,578",607,27,40.8,23.3,8.9
AR,Lincoln ,"1,910","5,127","2,259",903,18.7,50.3,22.1,8.9
AR,Little River ,"1,041","3,758","2,989","1,003",11.8,42.7,34,11.4
AR,Logan ,"2,278","6,875","4,284","1,846",14.9,45,28,12.1
AR,Lonoke ,"5,363","16,675","15,846","9,639",11.3,35.1,33.3,20.3
AR,Madison ,"2,242","5,037","2,382","1,375",20.3,45.6,21.6,12.5
AR,Marion ,"1,636","4,583","4,091","2,148",13.1,36.8,32.8,17.2
AR,Miller ,"4,170","10,680","9,967","4,934",14,35.9,33.5,16.6
AR,Mississippi ,"5,305","10,630","8,066","3,521",19.3,38.6,29.3,12.8
AR,Monroe ,"1,168","2,199","1,205",537,22.9,43,23.6,10.5
AR,Montgomery ,"1,461","2,450","2,075",722,21.8,36.5,30.9,10.8
AR,Nevada ,787,"2,605","1,644",916,13.2,43.8,27.6,15.4
AR,Newton ,994,"2,338","1,468",927,17.4,40.8,25.6,16.2
AR,Ouachita ,"2,412","6,958","4,675","2,671",14.4,41.6,28,16
AR,Perry ,"1,202","2,938","2,226",858,16.6,40.7,30.8,11.9
AR,Phillips ,"2,665","3,709","4,236","1,729",21.6,30.1,34.3,14
AR,Pike ,"1,153","2,946","2,364","1,113",15.2,38.9,31.2,14.7
AR,Poinsett ,"3,161","7,228","4,289","1,643",19.4,44.3,26.3,10.1
AR,Polk ,"2,166","5,275","4,789","1,872",15.4,37.4,34,13.3
AR,Pope ,"6,117","14,318","11,064","8,860",15.2,35.5,27.4,22
AR,Prairie ,"1,062","2,390","1,617",903,17.8,40,27.1,15.1
AR,Pulaski ,"25,441","69,644","80,333","90,726",9.6,26.2,30.2,34.1
AR,Randolph ,"2,121","4,362","4,066","1,719",17.3,35.6,33.1,14
AR,St. Francis ,"3,550","7,120","5,723","1,947",19.4,38.8,31.2,10.6
AR,Saline ,"7,790","25,636","26,748","21,234",9.6,31.5,32.9,26.1
AR,Scott ,"1,468","2,984","1,858",631,21.1,43,26.8,9.1
AR,Searcy ,902,"2,622","1,562",728,15.5,45.1,26.9,12.5
AR,Sebastian ,"14,230","27,083","26,577","16,641",16.8,32,31.4,19.7
AR,Sevier ,"2,752","3,859","2,858","1,232",25.7,36.1,26.7,11.5
AR,Sharp ,"2,027","5,176","3,734","1,397",16.4,42,30.3,11.3
AR,Stone ,"1,869","3,323","2,790","1,173",20.4,36.3,30.5,12.8
AR,Union ,"4,129","9,543","7,769","5,638",15.2,35.2,28.7,20.8
AR,Van Buren ,"1,741","5,387","3,412","1,730",14.2,43.9,27.8,14.1
AR,Washington ,"20,771","36,295","35,712","45,385",15,26.3,25.8,32.8
AR,White ,"7,454","19,564","13,034","10,878",14.6,38.4,25.6,21.4
AR,Woodruff ,943,"2,008","1,202",569,20,42.5,25.5,12
AR,Yell ,"2,892","5,923","3,721","1,963",19.9,40.9,25.7,13.5
CA,Alameda ,"139,234","203,838","281,631","531,701",12,17.6,24.4,46
CA,Alpine ,87,225,237,235,11.1,28.7,30.2,30
CA,Amador ,"2,864","8,461","12,198","5,997",9.7,28.7,41.3,20.3
CA,Butte ,"15,823","33,611","59,196","39,260",10.7,22.7,40,26.5
CA,Calaveras ,"3,332","9,557","15,239","6,474",9.6,27.6,44,18.7
CA,Colusa ,"4,174","3,225","4,132","2,103",30.6,23.7,30.3,15.4
CA,Contra Costa ,"82,574","136,610","233,998","324,337",10.6,17.6,30.1,41.7
CA,Del Norte ,"3,684","6,131","6,840","2,782",19,31.5,35.2,14.3
CA,El Dorado ,"9,299","28,621","51,399","45,397",6.9,21.2,38.2,33.7
CA,Fresno ,"147,389","136,851","188,858","123,407",24.7,22.9,31.7,20.7
CA,Glenn ,"4,426","5,058","5,956","2,484",24.7,28.2,33.2,13.9
CA,Humboldt ,"8,878","21,615","34,073","27,380",9.7,23.5,37.1,29.8
CA,Imperial ,"33,928","26,758","32,850","15,802",31,24.5,30,14.5
CA,Inyo ,"1,478","3,883","4,431","3,452",11.2,29.3,33.5,26.1
CA,Kern ,"139,584","147,239","159,525","85,752",26.2,27.7,30,16.1
CA,Kings ,"24,270","23,540","32,073","12,438",26.3,25.5,34.7,13.5
CA,Lake ,"6,872","13,951","18,247","7,324",14.8,30.1,39.3,15.8
CA,Lassen ,"3,853","7,444","8,396","2,697",17.2,33.2,37.5,12
CA,Los Angeles ,"1,460,718","1,416,482","1,790,808","2,177,481",21.3,20.7,26.2,31.8
CA,Madera ,"27,278","24,249","31,404","14,084",28.1,25,32.4,14.5
CA,Marin ,"12,883","20,858","44,782","112,018",6.8,10.9,23.5,58.8
CA,Mariposa ,"1,316","3,622","5,524","3,197",9.6,26.5,40.4,23.4
CA,Mendocino ,"8,101","15,925","22,532","15,241",13.1,25.8,36.5,24.7
CA,Merced ,"48,433","40,839","46,711","22,051",30.6,25.8,29.6,14
CA,Modoc ,974,"2,185","2,536","1,078",14.4,32.3,37.4,15.9
CA,Mono ,"1,131","2,290","3,545","3,076",11.3,22.8,35.3,30.6
CA,Monterey ,"78,816","56,133","72,422","67,157",28.7,20.4,26.4,24.5
CA,Napa ,"14,670","17,644","31,629","34,277",14.9,18,32.2,34.9
CA,Nevada ,"4,386","13,945","29,692","27,754",5.8,18.4,39.2,36.6
CA,Orange ,"320,340","368,858","604,676","857,638",14.9,17.1,28.1,39.9
CA,Placer ,"14,403","48,289","100,446","102,345",5.4,18.2,37.8,38.6
CA,Plumas ,874,"3,638","6,528","3,390",6.1,25.2,45.2,23.5
CA,Riverside ,"280,295","411,949","504,267","333,718",18.3,26.9,33,21.8
CA,Sacramento ,"127,852","225,825","350,480","308,126",12.6,22.3,34.6,30.4
CA,San Benito ,"7,658","9,440","13,492","7,486",20.1,24.8,35.4,19.7
CA,San Bernardino ,"272,865","352,296","436,563","270,028",20.5,26.5,32.8,20.3
CA,San Diego ,"286,008","409,272","680,074","848,022",12.9,18.4,30.6,38.1
CA,San Francisco ,"79,408","84,630","131,509","394,004",11.5,12.3,19.1,57.1
CA,San Joaquin ,"96,905","129,211","147,635","84,486",21.1,28.2,32.2,18.4
CA,San Luis Obispo ,"17,123","37,163","68,352","64,923",9.1,19.8,36.4,34.6
CA,San Mateo ,"59,339","82,174","132,756","273,630",10.8,15,24.2,49.9
CA,Santa Barbara ,"52,042","49,059","80,080","92,634",19,17.9,29.2,33.8
CA,Santa Clara ,"157,687","191,695","294,921","679,498",11.9,14.5,22.3,51.3
CA,Santa Cruz ,"24,323","28,222","54,710","71,610",13.6,15.8,30.6,40
CA,Shasta ,"11,606","31,314","55,236","27,995",9.2,24.8,43.8,22.2
CA,Sierra ,156,620,"1,118",436,6.7,26.6,48,18.7
CA,Siskiyou ,"3,181","8,118","13,330","7,163",10,25.5,41.9,22.5
CA,Solano ,"36,031","69,822","115,304","78,496",12,23.3,38.5,26.2
CA,Sonoma ,"42,831","67,183","123,081","124,873",12,18.8,34.4,34.9
CA,Stanislaus ,"73,664","97,071","111,660","57,523",21.7,28.6,32.8,16.9
CA,Sutter ,"13,697","14,879","22,621","11,024",22,23.9,36.4,17.7
CA,Tehama ,"6,766","13,319","16,540","6,709",15.6,30.7,38.2,15.5
CA,Trinity ,932,"3,325","3,744","1,965",9.4,33.4,37.6,19.7
CA,Tulare ,"81,345","69,974","79,261","38,493",30.2,26,29.5,14.3
CA,Tuolumne ,"3,936","11,680","17,269","8,238",9.6,28.4,42,20
CA,Ventura ,"88,185","107,135","183,807","187,558",15.6,18.9,32.4,33.1
CA,Yolo ,"17,180","23,271","33,180","52,424",13.6,18.5,26.3,41.6
CA,Yuba ,"8,478","10,898","19,959","7,866",18,23.1,42.3,16.7
CO,Adams ,"54,079","90,409","98,693","74,958",17,28.4,31,23.6
CO,Alamosa ,"1,287","2,598","3,157","2,484",13.5,27.3,33.1,26.1
CO,Arapahoe ,"32,895","89,231","126,707","181,360",7.6,20.7,29.5,42.2
CO,Archuleta ,781,"2,102","3,101","3,813",8,21.5,31.7,38.9
CO,Baca ,398,714,923,577,15.2,27.3,35.3,22.1
CO,Bent ,646,"2,208","1,120",565,14.2,48.6,24.7,12.4
CO,Boulder ,"10,380","25,800","46,104","127,566",4.9,12.3,22,60.8
CO,Broomfield ,"1,460","6,667","12,122","25,209",3.2,14.7,26.7,55.5
CO,Chaffee ,"1,070","4,038","4,930","5,068",7.1,26.7,32.6,33.5
CO,Cheyenne ,125,460,427,253,9.9,36.4,33.8,20
CO,Clear Creek ,123,"1,536","2,270","3,416",1.7,20.9,30.9,46.5
CO,Conejos ,711,"1,717","1,804","1,069",13.4,32.4,34,20.2
CO,Costilla ,579,640,956,514,21.5,23.8,35.6,19.1
CO,Crowley ,590,"1,615","1,297",372,15.2,41.7,33.5,9.6
CO,Custer ,253,754,"1,261","1,324",7,21,35.1,36.9
CO,Delta ,"2,130","8,446","6,857","4,700",9.6,38.2,31,21.2
CO,Denver ,"64,043","84,265","110,388","237,877",12.9,17,22.2,47.9
CO,Dolores ,115,539,454,300,8.2,38.3,32.2,21.3
CO,Douglas ,"4,347","26,287","59,981","124,635",2,12.2,27.9,57.9
CO,Eagle ,"4,075","5,979","9,672","18,316",10.7,15.7,25.4,48.1
CO,Elbert ,595,"4,374","6,449","6,388",3.3,24.6,36.2,35.9
CO,El Paso ,"27,792","89,218","157,396","167,680",6.3,20.2,35.6,37.9
CO,Fremont ,"3,539","14,477","11,733","6,625",9.7,39.8,32.3,18.2
CO,Garfield ,"4,740","11,076","11,329","11,651",12.2,28.5,29.2,30
CO,Gilpin ,114,"1,035","1,731","1,820",2.4,22,36.8,38.7
CO,Grand ,512,"3,016","3,556","4,306",4.5,26.5,31.2,37.8
CO,Gunnison ,296,"1,687","2,738","5,832",2.8,16,25.9,55.3
CO,Hinsdale ,45,186,176,318,6.2,25.7,24.3,43.9
CO,Huerfano ,442,"1,486","2,136","1,106",8.5,28.7,41.3,21.4
CO,Jackson ,120,287,398,163,12.4,29.6,41.1,16.8
CO,Jefferson ,"22,840","84,351","121,561","180,236",5.6,20.6,29.7,44.1
CO,Kiowa ,39,361,347,204,4.1,38,36.5,21.5
CO,Kit Carson ,622,"2,033","1,714","1,017",11.5,37.7,31.8,18.9
CO,Lake ,792,"1,482","1,333","1,858",14.5,27.1,24.4,34
CO,La Plata ,"1,966","7,980","12,102","17,223",5,20.3,30.8,43.9
CO,Larimer ,"9,389","42,507","66,792","102,473",4.2,19.2,30.2,46.3
CO,Las Animas ,"1,270","2,998","4,101","2,053",12.2,28.8,39.3,19.7
CO,Lincoln ,393,"2,164",995,520,9.7,53.1,24.4,12.8
CO,Logan ,"1,540","4,816","5,352","3,028",10.5,32.7,36.3,20.5
CO,Mesa ,"10,188","28,023","36,303","28,155",9.9,27.3,35.4,27.4
CO,Mineral ,23,138,269,286,3.2,19.3,37.6,39.9
CO,Moffat ,803,"3,570","2,960","1,514",9.1,40.4,33.5,17.1
CO,Montezuma ,"1,921","5,361","5,739","5,207",10.5,29.4,31.5,28.6
CO,Montrose ,"3,304","9,337","9,719","7,017",11.2,31.8,33.1,23.9
CO,Morgan ,"3,657","5,709","5,758","3,231",19.9,31.1,31.4,17.6
CO,Otero ,"1,797","3,588","4,714","2,172",14.6,29.2,38.4,17.7
CO,Ouray ,62,699,"1,213","1,866",1.6,18.2,31.6,48.6
CO,Park ,401,"4,056","4,995","4,094",3,29.9,36.9,30.2
CO,Phillips ,336,786,"1,001",726,11.8,27.6,35.1,25.5
CO,Pitkin ,501,"2,025","2,516","8,606",3.7,14.8,18.4,63.1
CO,Prowers ,"1,399","2,027","3,040","1,365",17.9,25.9,38.8,17.4
CO,Pueblo ,"11,814","32,066","43,446","24,568",10.6,28.7,38.8,22
CO,Rio Blanco ,301,"1,406","1,616",843,7.2,33.7,38.8,20.2
CO,Rio Grande ,"1,203","2,312","2,332","1,818",15.7,30.2,30.4,23.7
CO,Routt ,595,"3,613","4,871","9,232",3.2,19.7,26.6,50.4
CO,Saguache ,919,"1,399","1,306","1,074",19.6,29.8,27.8,22.9
CO,San Juan ,33,124,147,160,7.1,26.7,31.7,34.5
CO,San Miguel ,296,908,"1,385","3,387",5,15.2,23.2,56.7
CO,Sedgwick ,167,508,666,353,9.9,30,39.3,20.8
CO,Summit ,"1,539","4,339","5,321","11,672",6.7,19,23.3,51
CO,Teller ,769,"4,643","6,600","6,200",4.2,25.5,36.2,34
CO,Washington ,254,"1,076","1,492",545,7.5,32,44.3,16.2
CO,Weld ,"22,517","51,960","63,828","50,460",11.9,27.5,33.8,26.7
CO,Yuma ,786,"2,219","2,151","1,464",11.9,33.5,32.5,22.1
CT,Fairfield ,"64,890","139,001","133,981","303,918",10.1,21.7,20.9,47.4
CT,Hartford ,"65,170","167,539","154,744","234,993",10.5,26.9,24.9,37.8
CT,Litchfield ,"9,986","39,969","37,527","47,270",7.4,29.7,27.8,35.1
CT,Middlesex ,"6,918","30,998","31,549","49,327",5.8,26.1,26.6,41.5
CT,New Haven ,"59,205","183,897","144,784","207,966",9.9,30.9,24.3,34.9
CT,New London ,"15,250","56,020","54,206","62,745",8.1,29.8,28.8,33.3
CT,Tolland ,"5,215","26,390","24,811","39,454",5.4,27.5,25.9,41.2
CT,Windham ,"9,192","26,705","25,534","19,554",11.4,33,31.5,24.1
DE,Kent ,"14,930","38,490","35,280","27,357",12.9,33.2,30.4,23.6
DE,New Castle ,"32,485","116,387","94,982","136,613",8.5,30.6,25,35.9
DE,Sussex ,"20,067","53,680","46,446","43,262",12.3,32.8,28.4,26.5
DC,District of Columbia,"45,805","83,572","77,255","280,349",9.4,17.2,15.9,57.6
DC,District of Columbia,"45,805","83,572","77,255","280,349",9.4,17.2,15.9,57.6
FL,Alachua ,"12,112","34,631","44,794","67,724",7.6,21.7,28.1,42.5
FL,Baker ,"2,886","7,986","5,295","2,492",15.5,42.8,28.4,13.4
FL,Bay ,"12,371","40,148","46,118","29,167",9.7,31.4,36.1,22.8
FL,Bradford ,"4,229","7,745","5,458","2,056",21.7,39.7,28,10.6
FL,Brevard ,"34,234","122,135","145,319","125,088",8,28.6,34.1,29.3
FL,Broward ,"150,125","368,264","396,859","429,460",11.2,27.4,29.5,31.9
FL,Calhoun ,"2,259","4,312","2,704","1,019",21.9,41.9,26.3,9.9
FL,Charlotte ,"14,096","49,114","48,348","33,662",9.7,33.8,33.3,23.2
FL,Citrus ,"13,556","43,548","36,497","20,044",11.9,38.3,32.1,17.6
FL,Clay ,"12,535","44,514","50,035","33,943",8.9,31.6,35.5,24.1
FL,Collier ,"37,344","69,842","68,204","99,320",13.6,25.4,24.8,36.2
FL,Columbia ,"6,365","17,263","16,742","7,444",13.3,36.1,35,15.6
FL,DeSoto ,"7,083","11,171","4,698","2,966",27.3,43.1,18.1,11.4
